Algo_ID = LEA_CBC-128
PlainText = 5
"61, 73, 64, 66, 61, 73, 64, 00, 00, 00, 00, 00, 00, 00, 00, 00"
"61, 73, 64, 66, 61, 73, 64, 00, 00, 00, 00, 00, 00, 00, 00, 00"
"61, 73, 64, 66, 61, 73, 64, 00, 00, 00, 00, 00, 00, 00, 00, 00"
"73, 64, 67, 73, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00"
"73, 64, 66, 73, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00"
Key = 5
"66, 66, 66, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00"
"61, 73, 64, 66, 61, 73, 64, 00, 00, 00, 00, 00, 00, 00, 00, 00"
"61, 73, 64, 66, 61, 73, 64, 00, 00, 00, 00, 00, 00, 00, 00, 00"
"61, 73, 64, 66, 61, 73, 64, 00, 00, 00, 00, 00, 00, 00, 00, 00"
"73, 64, 66, 73, 64, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00"
